Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
CAS EC 391,International Trade,(CASEC201),"Why do countries trade with each other? Who gains and who loses from international trade? What effect does trade have on consumer prices, wages, profits, income inequality, economic growth, and the environment? What are the costs and benefits of tariffs and other trade barriers? How have NAFTA and the European Union affected trade patterns, income distribution, and economic development? What effects do capital flows and migration have on sending and receiving countries? This course will use economic analysis to discuss these and other current international economic polies.",,,,X,X,,,,,,,,,,,,,,
CAS EC 392,International Macroeconomics,(CASEC 202 & CASEC 203) or equivalent; Undergraduate Corequisites: (CASEC 204) or equivalent.,"This course analyzes what determines exchange rates, including interest rates, fiscal and monetary policies, GDP growth, inflation, and other factors. We will examine the causes of exchange rate crises, the functioning of fixed and flexible exchange rate systems, the effect of the worldwide saving imbalance, the crisis in the euro zone, as well as other current topics. We will also study hedging and speculating in foreign exchange markets by using futures and forward contracts and options.",,,,X,X,,,,,,,,,,,,,,
CAS EC 401,Senior Independent Work,,"Prerequisites: First Year Writing Seminar (e.g., CASWR 100 or WR 120), and CASEC 201 (or EC221) and CASEC 202 (or EC222) and CASEC 203 (or EC223) and CASEC 204 (or EC 224), and acceptance by the Economics Department into the departmental honor program. - Senior honors thesis writing seminar structured around weekly meetings with student presentations of ongoing work and instructors' presentations on related research methodology.",,,,,,,,,,,,,,,,X,X,,
CAS EC 402,Senior Independent Work,,"Prerequisites: First Year Writing Seminar (e.g., CASWR 100 or WR 120), and CASEC 201 (or EC221) and CASEC 202 (or EC222) and CASEC 203 (or EC223) and CASEC 204 (or EC 224), and CASEC 401, and acceptance by the Economics Department into the departmental honor program. - Senior honors thesis writing seminar structured around weekly meetings with student presentations of ongoing work and instructors' presentations on related research methodology.",,,,,,,,,,,,,,,,,,,
CAS EC 403,Game Theory,CAS EC 201 and (CASMA121 or CASMA123 or CASMA127); or consent of inst ructor.,"Models of decision-making in which the choices of different individuals interact: basic equilibrium notions in normal-form and extensive-form games, including signaling games and repeated games. Applications may include oligopolies, auctions, foreign policy, takeover bids, entry deterrence, cooperation and conflict, financial markets, and public goods.",,,,X,X,,,X,X,,,,,,,X,,,
CAS EC 404,Economics of Information,"(CASEC201) and one of CAS MA 121, 122, 123, 124, 127 or 129, or consent of instru ctor. Recommended: CAS EC 403.",Introduction to the field of information economics and its applications. Covers a wide range of situations in which players have access to different private information and this private information differently affects their incentives and strategic behavior.,,,,X,X,,,X,X,,,,,,,X,,,
CAS EC 405,Applied Econometrics: Time Series,"CASEC 201 (or EC 221), CASEC 202 (or EC 222), and CASEC 204 (or EC 224).","Studies commonly used econometric models used with cross-sectional and panel data. Covers binary response models (Logit, Probit), panel data methods and instrumental variables estimation. The emphasis is on applications and data analysis using Stata.",,,,,,,,X,X,,,,X,,,,X,,
CAS EC 406,Applied Econometrics: Cross-Sectional,"CASEC 201 (or EC 221), CASEC 202 (or EC 222), and CASEC 204 (or EC 224).","Studies commonly used econometric models used with cross-sectional and panel data. Covers binary response models (Logit, Probit), panel data methods and instrumental variables estimation. The emphasis is on applications and data analysis using Stata.",,,,,,,,X,X,,,,X,,,,X,,
CAS EC 411,Economics Practicum 1,students required to find internships independently and then locate an Economics advisor to instruct the practicum. Consent of faculty required.,For students who wish to receive credit towards graduation for internships related to economics. Studies the interaction of academic studies and work experience.,,,,,,,,,,,,,,,,,,,
CAS EC 412,Economics Practicum 2,students required to find internships independently and then locate an Economics advisor to instruct the practicum. Consent of faculty required.,For students who wish to receive credit towards graduation for internships related to economics. Studies the interaction of academic studies and work experience.,,,,,,,,,,,,,,,,,,,
CAS EC 421,Understanding the Fed 1,,"Prerequisites: CASEC 101, EC 102, and EC 203. - First course in a two-course sequence (CASEC 421 and EC 422) designed to support the BU annual Fed Challenge team.",,,,,,,,,,,,,,,,,,,
CAS EC 422,Understanding the Fed 2,,"Prerequisites: CASEC 101, EC 102, EC 203, and EC 421. - Second course in a two-course sequence (CASEC 421 and EC 422) to designed to support the BU annual Fed Challenge team.",,,,,,,,,,,,,,,,,,,
CAS EC 436,Economics of Corporate Organization,"CASEC201; and CASMA121 or CASMA123 or CASMA127; and CASEC305 or CASMA2 13; and CASMA214, or SMGSM221.","Economic analysis of the architecture of firms and other organizations. Topics include firm boundaries, the allocation of ownership and control, integration and outsourcing, corporate governance, performance evaluation, and compensation.",,,,X,X,,,X,X,,,,,,,X,,,
CAS EC 445,Economics of Risk and Uncertainty,(CASEC201 & CASEC202 & CASEC203 & CASEC204) and CAS MA 121 or CAS MA 123 (or equivalent).,"For advanced undergraduates. Economics of risk, with a focus on financial markets. Topics include expected utility, portfolio choice and the capital asset pricing model, interest rates and monetary policy, the relation between the real economy and the stock market.",,,,X,X,,,X,,,,,,,,,,,
CAS EC 490,Special Topics in Economics,,May be repeated for credit as topic varies. Further information and topics can be found in each section's notes.,,,,,,,,,,,,,,,,,,,
CAS EC 491,Directed Study in Economics,,Units: Var DIRECTED STUDY,,,,,,,,,,,,,,,,,,,
CAS EC 492,Directed Study in Economics,,Units: Var DIRECTED STUDY,,,,,,,,,,,,,,,,,,,
CAS EE 100,Environmental Change and Sustainability,,"Introduces the distinctive ways that environmental change and sustainability are studied across the environmental social sciences and humanities, focusing on the contested meanings as much as material realities and policy responses to global challenges like climate change and biodiversity loss.",,,,X,,,,,,,,X,,,,,,X,
CAS EE 105,Crises of Planet Earth,,"After covering the origin of the universe, earth and life, the course examines two topics: natural hazards, including earthquakes and volcanoes; and human impacts on Earth, including climate change, ozone depletion, pollution, and increasing demands on mineral and energy resources. Carries natural science divisional credit (with lab) in CAS.",,,,,,X,,X,,,,,,,,,X,,
CAS EE 107,Introduction to Climate and Earth System Science,,"Introduction to the Earth as an integrated system composed of interacting biosphere, hydrosphere, cryosphere, lithosphere, and atmosphere subsystems. Major themes include earth system stability, instability and capacity for change on all time scales, including human-induced climate change. Carries natural science divisional credit (with lab) in CAS.",,,,,,X,,X,,,,,,,,,X,,
